dealID,proposedTickerSymbol_x,companyName_x,proposedExchange,proposedSharePrice,sharesOffered,pricedDate,dollarValueOfSharesOffered_x,dealStatus,proposedTickerSymbol_y,companyName_y,filedDate,dollarValueOfSharesOffered_y
1148553-96376,AAQCU,Accelerate Acquisition Corp.,NYSE,10.00,"40,000,000",3/18/2021,"$400,000,000",Priced,AAQCU,Accelerate Acquisition Corp.,3/02/2021,"$400,000,000"
1148554-96377,,,,,,,,,,Atlas Crest Investment Corp. IV,3/02/2021,"$460,000,000"
1148557-96380,,,,,,,,,ACAMU,Acamar Partners Acquisition Corp. II,3/02/2021,"$402,500,000.00"
1148558-96381,,,,,,,,,,ACI Corp. III,3/02/2021,"$690,000,000"
1148559-96382,,,,,,,,,,Atlas Crest Investment Corp. III,3/02/2021,"$230,000,000"
1148562-96383,,,,,,,,,,Do It Again Corp.,3/02/2021,"$143,750,000"
1148578-96388,ISAA,Iron Spark I Inc.,NASDAQ Capital,10.00,"15,000,000",6/09/2021,"$150,000,000",Priced,ISAA,Iron Spark I Inc.,3/02/2021,"$150,000,000"
1148626-96390,CPOP,"Pop Culture Group Co., Ltd",NASDAQ Global,6.00,"6,200,000",6/30/2021,"$37,200,000",Priced,CPOP,"Pop Culture Group Co., Ltd",3/02/2021,"$37,200,000"
1148738-96398,RACB,Research Alliance Corp. II,NASDAQ Capital,10.00,"13,000,000",3/18/2021,"$130,000,000",Priced,RACB,Research Alliance Corp. II,3/02/2021,"$130,000,000"
1148751-96401,DGNU,Dragoneer Growth Opportunities Corp. III,NASDAQ Capital,10.00,"40,000,000",3/23/2021,"$400,000,000",Priced,DGNU,Dragoneer Growth Opportunities Corp. III,3/02/2021,"$400,000,000"
1148752-96402,LVTX,LAVA Therapeutics NV,NASDAQ Global Select,15.00,"6,700,000",3/25/2021,"$100,500,000",Priced,LVTX,LAVA Therapeutics NV,3/02/2021,"$100,500,000"
